Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.099058,469033600
12/15/1980,0.12221,0.12221,0.121652,0.121652,0.09389,175884800
12/16/1980,0.113281,0.113281,0.112723,0.112723,0.086999,105728000
12/17/1980,0.115513,0.116071,0.115513,0.115513,0.089152,86441600
12/18/1980,0.118862,0.11942,0.118862,0.118862,0.091737,73449600
12/19/1980,0.126116,0.126674,0.126116,0.126116,0.097335,48630400
12/22/1980,0.132254,0.132813,0.132254,0.132254,0.102072,37363200
12/23/1980,0.137835,0.138393,0.137835,0.137835,0.10638,46950400
12/24/1980,0.145089,0.145647,0.145089,0.145089,0.111978,48003200
12/26/1980,0.158482,0.15904,0.158482,0.158482,0.122315,55574400
12/29/1980,0.160714,0.161272,0.160714,0.160714,0.124037,93161600
12/30/1980,0.157366,0.157366,0.156808,0.156808,0.121023,68880000
12/31/1980,0.152902,0.152902,0.152344,0.152344,0.117578,35750400
1/2/1981,0.154018,0.155134,0.154018,0.154018,0.11887,21660800
1/5/1981,0.151228,0.151228,0.15067,0.15067,0.116286,35728000
1/6/1981,0.144531,0.144531,0.143973,0.143973,0.111117,45158400
1/7/1981,0.138393,0.138393,0.137835,0.137835,0.10638,55686400
1/8/1981,0.135603,0.135603,0.135045,0.135045,0.104226,39827200
1/9/1981,0.142299,0.142857,0.142299,0.142299,0.109825,21504000
1/12/1981,0.142299,0.142299,0.141183,0.141183,0.108964,23699200
1/13/1981,0.136719,0.136719,0.136161,0.136161,0.105088,23049600
1/14/1981,0.136719,0.137277,0.136719,0.136719,0.105518,14291200
1/15/1981,0.139509,0.140625,0.139509,0.139509,0.107672,14067200
1/16/1981,0.138951,0.138951,0.138393,0.138393,0.10681,13395200
1/19/1981,0.146763,0.147321,0.146763,0.146763,0.11327,41574400
1/20/1981,0.142857,0.142857,0.142299,0.142299,0.109825,30083200
1/21/1981,0.145089,0.146205,0.145089,0.145089,0.111978,15904000
1/22/1981,0.146763,0.147879,0.146763,0.146763,0.11327,35548800
1/23/1981,0.146763,0.147321,0.146205,0.146205,0.11284,11222400
1/26/1981,0.144531,0.144531,0.143973,0.143973,0.111117,24640000
1/27/1981,0.143973,0.143973,0.142857,0.142857,0.110256,23699200
1/28/1981,0.138951,0.138951,0.138393,0.138393,0.10681,28156800
1/29/1981,0.133929,0.133929,0.133371,0.133371,0.102934,43904000
1/30/1981,0.127232,0.127232,0.126116,0.126116,0.097335,46188800
2/2/1981,0.11942,0.11942,0.118862,0.118862,0.091737,23766400
2/3/1981,0.123326,0.123884,0.123326,0.123326,0.095182,19152000
2/4/1981,0.12779,0.128348,0.12779,0.12779,0.098627,27865600
2/5/1981,0.12779,0.128906,0.12779,0.12779,0.098627,7929600
2/6/1981,0.128348,0.128906,0.128348,0.128348,0.099058,13865600
2/9/1981,0.122768,0.122768,0.121652,0.121652,0.09389,16755200
2/10/1981,0.121652,0.12221,0.121652,0.121652,0.09389,18345600
2/11/1981,0.118304,0.118304,0.117746,0.117746,0.090875,13843200
2/12/1981,0.117188,0.117188,0.116629,0.116629,0.090013,14560000
2/13/1981,0.114955,0.114955,0.113839,0.113839,0.08786,11155200
2/17/1981,0.116629,0.117188,0.116629,0.116629,0.090013,12275200
2/18/1981,0.121652,0.122768,0.121652,0.121652,0.09389,19241600
2/19/1981,0.114955,0.114955,0.114397,0.114397,0.08829,22310400
2/20/1981,0.108817,0.108817,0.108259,0.108259,0.083553,24371200
2/23/1981,0.109933,0.110491,0.109933,0.109933,0.084845,14112000
2/24/1981,0.107143,0.107143,0.106027,0.106027,0.081831,16979200
2/25/1981,0.112723,0.113281,0.112723,0.112723,0.086999,19488000
2/26/1981,0.114397,0.114955,0.114397,0.114397,0.08829,10841600
2/27/1981,0.118304,0.11942,0.118304,0.118304,0.091306,14761600
3/2/1981,0.118862,0.11942,0.118862,0.118862,0.091737,11760000
3/3/1981,0.117746,0.117746,0.117188,0.117188,0.090445,16172800
3/4/1981,0.116629,0.116629,0.116071,0.116071,0.089582,13708800
3/5/1981,0.116071,0.116071,0.115513,0.115513,0.089152,5376000
3/6/1981,0.115513,0.115513,0.114397,0.114397,0.08829,11603200
3/9/1981,0.106027,0.106027,0.105469,0.105469,0.0814,15321600
3/10/1981,0.101004,0.101004,0.100446,0.100446,0.077523,28380800
3/11/1981,0.097656,0.097656,0.09654,0.09654,0.074509,29859200
3/12/1981,0.100446,0.101004,0.100446,0.100446,0.077523,59248000
3/13/1981,0.099888,0.099888,0.09933,0.09933,0.076662,231302400
3/16/1981,0.103237,0.104353,0.103237,0.103237,0.079677,37228800
3/17/1981,0.108259,0.109375,0.108259,0.108259,0.083553,43747200
3/18/1981,0.114955,0.116071,0.114955,0.114955,0.088721,36937600
3/19/1981,0.114397,0.114397,0.113839,0.113839,0.08786,37811200
3/20/1981,0.114955,0.116071,0.114955,0.114955,0.088721,14604800
3/23/1981,0.11942,0.120536,0.11942,0.11942,0.092167,22019200
3/24/1981,0.11942,0.11942,0.118862,0.118862,0.091737,28156800
3/25/1981,0.117746,0.117746,0.116629,0.116629,0.090013,7056000
3/26/1981,0.114955,0.114955,0.114397,0.114397,0.08829,12275200
3/27/1981,0.111049,0.111049,0.110491,0.110491,0.085276,12252800
3/30/1981,0.110491,0.111607,0.110491,0.110491,0.085276,9900800
3/31/1981,0.110491,0.110491,0.109375,0.109375,0.084415,15993600
4/1/1981,0.108817,0.108817,0.108259,0.108259,0.083553,34070400
4/2/1981,0.117746,0.118304,0.117746,0.117746,0.090875,31404800
4/3/1981,0.118304,0.118862,0.118304,0.118304,0.091306,16486400
4/6/1981,0.116629,0.116629,0.116071,0.116071,0.089582,22803200
4/7/1981,0.115513,0.115513,0.114955,0.114955,0.088721,10684800
4/8/1981,0.120536,0.121652,0.120536,0.120536,0.093029,21952000
4/9/1981,0.122768,0.123326,0.122768,0.122768,0.094751,12499200
4/10/1981,0.124442,0.125,0.124442,0.124442,0.096043,33465600
4/13/1981,0.124442,0.125,0.124442,0.124442,0.096043,16060800
4/14/1981,0.124442,0.125,0.124442,0.124442,0.096043,6652800
4/15/1981,0.118862,0.118862,0.118304,0.118304,0.091306,34048000
4/16/1981,0.112165,0.112165,0.111607,0.111607,0.086137,23878400
4/20/1981,0.114955,0.115513,0.114955,0.114955,0.088721,35347200
4/21/1981,0.122768,0.123326,0.122768,0.122768,0.094751,28537600
4/22/1981,0.127232,0.12779,0.127232,0.127232,0.098196,18995200
4/23/1981,0.13058,0.131138,0.13058,0.13058,0.10078,58016000
4/24/1981,0.13058,0.13058,0.129464,0.129464,0.099919,35056000
4/27/1981,0.128906,0.128906,0.128348,0.128348,0.099058,38528000
4/28/1981,0.126674,0.126674,0.126116,0.126116,0.097335,32188800
4/29/1981,0.125,0.125,0.124442,0.124442,0.096043,13641600
4/30/1981,0.126674,0.12779,0.126674,0.126674,0.097766,12611200
5/1/1981,0.126674,0.12779,0.126674,0.126674,0.097766,16553600
5/4/1981,0.126674,0.126674,0.126116,0.126116,0.097335,14448000
5/5/1981,0.126116,0.126116,0.125558,0.125558,0.096904,17539200
5/6/1981,0.122768,0.122768,0.12221,0.12221,0.09432,18950400
5/7/1981,0.123884,0.124442,0.123884,0.123884,0.095612,9363200
5/8/1981,0.125,0.125558,0.125,0.125,0.096474,7907200
5/11/1981,0.122768,0.122768,0.12221,0.12221,0.09432,11939200
5/12/1981,0.12221,0.123884,0.12221,0.12221,0.09432,4256000
5/13/1981,0.12221,0.123326,0.121652,0.121652,0.09389,4905600
5/14/1981,0.121094,0.121094,0.119978,0.119978,0.092598,4928000
5/15/1981,0.122768,0.124442,0.122768,0.122768,0.094751,4905600
5/18/1981,0.125,0.126116,0.125,0.125,0.096474,4166400
5/19/1981,0.123326,0.123326,0.122768,0.122768,0.094751,25424000
5/20/1981,0.126674,0.12779,0.126674,0.126674,0.097766,13283200
5/21/1981,0.133929,0.134487,0.133929,0.133929,0.103365,32211200
5/22/1981,0.140067,0.141183,0.140067,0.140067,0.108102,31427200
5/26/1981,0.140067,0.140067,0.139509,0.139509,0.107672,85344000
5/27/1981,0.147321,0.147879,0.147321,0.147321,0.113701,149497600
5/28/1981,0.147321,0.147879,0.147321,0.147321,0.113701,73987200
5/29/1981,0.147879,0.148438,0.147879,0.147879,0.114132,59382400
6/1/1981,0.147879,0.148438,0.147879,0.147879,0.114132,51251200
6/2/1981,0.141183,0.141183,0.140625,0.140625,0.108533,40432000
6/3/1981,0.140625,0.141741,0.140625,0.140625,0.108533,39446400
6/4/1981,0.143415,0.143973,0.143415,0.143415,0.110686,56067200
6/5/1981,0.141741,0.141741,0.141183,0.141183,0.108964,57680000
